,myct,mmin,mmax,cach,chmin,chmax,class
0,31.0,4.0,12.0,21.0,10.0,29.0,90.0
1,4.0,22.0,21.0,11.0,8.0,21.0,98.0
2,4.0,22.0,21.0,11.0,8.0,21.0,94.0
3,4.0,22.0,21.0,11.0,8.0,21.0,85.0
4,4.0,22.0,18.0,11.0,8.0,14.0,76.0
5,3.0,22.0,21.0,13.0,8.0,21.0,102.0
6,1.0,23.0,21.0,13.0,10.0,21.0,104.0
7,1.0,23.0,21.0,13.0,10.0,21.0,110.0
8,1.0,23.0,22.0,13.0,10.0,21.0,112.0
9,1.0,24.0,22.0,17.0,13.0,26.0,114.0
10,51.0,11.0,7.0,0.0,1.0,2.0,30.0
11,51.0,8.0,8.0,3.0,1.0,6.0,31.0
12,15.0,14.0,15.0,14.0,1.0,8.0,64.0
13,10.0,19.0,18.0,14.0,1.0,8.0,80.0
14,50.0,0.0,0.0,0.0,1.0,4.0,3.0
15,41.0,8.0,18.0,0.0,4.0,21.0,27.0
16,37.0,9.0,5.0,5.0,4.0,13.0,11.0
17,34.0,8.0,11.0,0.0,7.0,21.0,20.0
18,34.0,11.0,5.0,0.0,5.0,14.0,23.0
19,26.0,20.0,11.0,19.0,8.0,26.0,74.0
20,34.0,13.0,14.0,0.0,5.0,21.0,22.0
21,34.0,18.0,13.0,0.0,5.0,16.0,25.0
22,34.0,15.0,13.0,0.0,6.0,26.0,46.0
23,26.0,18.0,13.0,0.0,6.0,26.0,59.0
24,48.0,2.0,12.0,0.0,1.0,10.0,15.0
25,48.0,8.0,5.0,3.0,1.0,3.0,53.0
26,48.0,4.0,12.0,0.0,1.0,6.0,25.0
27,48.0,4.0,7.0,3.0,1.0,3.0,19.0
28,48.0,8.0,11.0,3.0,1.0,5.0,60.0
29,48.0,4.0,11.0,3.0,1.0,6.0,19.0
30,2.0,12.0,6.0,18.0,9.0,17.0,99.0
31,2.0,12.0,6.0,18.0,9.0,17.0,105.0
32,10.0,16.0,16.0,10.0,9.0,17.0,24.0
33,10.0,16.0,16.0,10.0,9.0,17.0,48.0
34,12.0,21.0,19.0,10.0,9.0,17.0,68.0
35,16.0,21.0,19.0,10.0,9.0,17.0,91.0
36,10.0,7.0,5.0,5.0,1.0,4.0,12.0
37,10.0,11.0,9.0,5.0,1.0,5.0,21.0
38,10.0,14.0,15.0,5.0,1.0,5.0,55.0
39,10.0,11.0,9.0,5.0,3.0,5.0,18.0
40,10.0,11.0,15.0,5.0,3.0,5.0,28.0
41,10.0,14.0,18.0,5.0,3.0,5.0,31.0
42,10.0,14.0,18.0,5.0,3.0,6.0,40.0
43,10.0,14.0,18.0,5.0,3.0,6.0,45.0
44,32.0,11.0,17.0,6.0,3.0,10.0,56.0
45,32.0,11.0,15.0,6.0,3.0,10.0,56.0
46,56.0,8.0,1.0,5.0,1.0,1.0,10.0
47,56.0,11.0,11.0,0.0,1.0,1.0,12.0
48,48.0,8.0,15.0,3.0,1.0,5.0,31.0
49,41.0,8.0,15.0,5.0,1.0,8.0,47.0
50,54.0,6.0,15.0,0.0,1.0,1.0,16.0
51,54.0,4.0,5.0,0.0,1.0,1.0,16.0
52,33.0,11.0,18.0,8.0,1.0,3.0,80.0
53,41.0,11.0,15.0,0.0,1.0,2.0,28.0
54,26.0,11.0,9.0,8.0,1.0,2.0,18.0
55,26.0,11.0,17.0,8.0,1.0,2.0,45.0
56,43.0,11.0,15.0,8.0,1.0,2.0,55.0
57,55.0,4.0,15.0,0.0,1.0,4.0,5.0
58,55.0,4.0,15.0,0.0,1.0,4.0,7.0
59,55.0,4.0,15.0,0.0,1.0,4.0,12.0
60,55.0,4.0,15.0,0.0,1.0,4.0,8.0
61,55.0,4.0,15.0,0.0,1.0,4.0,14.0
62,31.0,8.0,3.0,0.0,8.0,16.0,28.0
63,19.0,14.0,15.0,13.0,1.0,22.0,84.0
64,19.0,14.0,18.0,13.0,1.0,22.0,84.0
65,19.0,14.0,18.0,17.0,1.0,22.0,97.0
66,21.0,4.0,3.0,0.0,3.0,9.0,9.0
67,25.0,4.0,5.0,0.0,3.0,9.0,18.0
68,25.0,11.0,9.0,0.0,3.0,17.0,24.0
69,25.0,14.0,9.0,5.0,3.0,15.0,24.0
70,19.0,14.0,15.0,5.0,3.0,17.0,47.0
71,19.0,17.0,15.0,5.0,3.0,23.0,49.0
72,38.0,4.0,5.0,0.0,3.0,17.0,14.0
73,47.0,10.0,7.0,0.0,6.0,17.0,28.0
74,47.0,10.0,7.0,4.0,6.0,17.0,34.0
75,47.0,10.0,17.0,4.0,6.0,17.0,38.0
76,47.0,10.0,10.0,0.0,1.0,17.0,35.0
77,47.0,6.0,17.0,4.0,1.0,17.0,41.0
78,47.0,3.0,2.0,4.0,6.0,17.0,28.0
79,39.0,10.0,17.0,4.0,1.0,20.0,62.0
80,49.0,11.0,7.0,0.0,2.0,4.0,8.0
81,47.0,11.0,9.0,5.0,3.0,26.0,30.0
82,47.0,11.0,18.0,5.0,2.0,28.0,30.0
83,49.0,11.0,5.0,0.0,1.0,2.0,8.0
84,49.0,11.0,9.0,0.0,3.0,6.0,14.0
85,33.0,14.0,9.0,0.0,3.0,6.0,21.0
86,33.0,14.0,9.0,0.0,4.0,8.0,31.0
87,33.0,14.0,9.0,5.0,1.0,16.0,27.0
88,33.0,14.0,21.0,11.0,1.0,16.0,78.0
89,33.0,14.0,15.0,11.0,1.0,25.0,51.0
90,33.0,14.0,21.0,11.0,1.0,25.0,82.0
91,33.0,14.0,21.0,11.0,1.0,25.0,89.0
92,33.0,14.0,9.0,5.0,1.0,16.0,14.0
93,13.0,19.0,18.0,1.0,6.0,10.0,76.0
94,13.0,19.0,20.0,13.0,9.0,14.0,95.0
95,3.0,23.0,21.0,13.0,10.0,17.0,109.0
96,3.0,23.0,21.0,13.0,8.0,17.0,109.0
97,3.0,22.0,21.0,0.0,8.0,17.0,100.0
98,3.0,22.0,18.0,0.0,8.0,14.0,87.0
99,52.0,1.0,1.0,0.0,1.0,1.0,0.0
100,42.0,11.0,5.0,0.0,1.0,5.0,16.0
101,28.0,8.0,12.0,8.0,1.0,6.0,35.0
102,58.0,8.0,4.0,0.0,1.0,1.0,1.0
103,58.0,10.0,5.0,0.0,1.0,1.0,6.0
104,53.0,10.0,5.0,0.0,1.0,1.0,8.0
105,51.0,14.0,9.0,0.0,1.0,1.0,24.0
106,51.0,19.0,15.0,0.0,1.0,1.0,24.0
107,57.0,11.0,3.0,0.0,1.0,2.0,4.0
108,57.0,8.0,3.0,0.0,1.0,2.0,4.0
109,57.0,11.0,9.0,3.0,1.0,2.0,10.0
110,57.0,11.0,9.0,5.0,1.0,2.0,14.0
111,57.0,14.0,9.0,0.0,3.0,6.0,29.0
112,44.0,14.0,9.0,5.0,3.0,6.0,31.0
113,44.0,14.0,9.0,5.0,3.0,6.0,26.0
114,39.0,14.0,15.0,5.0,1.0,6.0,38.0
115,40.0,14.0,18.0,8.0,1.0,6.0,59.0
116,39.0,14.0,18.0,8.0,1.0,6.0,51.0
117,44.0,11.0,9.0,2.0,3.0,6.0,16.0
118,2.0,14.0,17.0,5.0,1.0,4.0,37.0
119,2.0,14.0,17.0,8.0,3.0,5.0,51.0
120,0.0,19.0,18.0,5.0,6.0,10.0,66.0
121,0.0,19.0,18.0,11.0,6.0,10.0,77.0
122,59.0,10.0,3.0,0.0,0.0,0.0,5.0
123,59.0,10.0,5.0,0.0,0.0,0.0,10.0
124,55.0,10.0,5.0,0.0,0.0,0.0,12.0
125,10.0,14.0,9.0,0.0,3.0,6.0,19.0
126,10.0,14.0,15.0,5.0,3.0,6.0,35.0
127,10.0,14.0,15.0,5.0,1.0,6.0,43.0
128,10.0,14.0,18.0,9.0,1.0,6.0,54.0
129,10.0,14.0,18.0,9.0,1.0,6.0,61.0
130,10.0,22.0,18.0,12.0,1.0,9.0,79.0
131,24.0,11.0,15.0,0.0,2.0,6.0,8.0
132,24.0,11.0,15.0,9.0,2.0,6.0,18.0
133,24.0,11.0,15.0,9.0,3.0,6.0,24.0
134,10.0,14.0,18.0,7.0,3.0,14.0,35.0
135,10.0,14.0,18.0,9.0,6.0,14.0,42.0
136,10.0,14.0,18.0,9.0,6.0,14.0,50.0
137,35.0,8.0,9.0,0.0,8.0,29.0,22.0
138,28.0,14.0,15.0,8.0,1.0,3.0,38.0
139,28.0,14.0,9.0,2.0,1.0,5.0,31.0
140,22.0,14.0,15.0,11.0,1.0,6.0,47.0
141,22.0,14.0,15.0,11.0,1.0,6.0,45.0
142,22.0,14.0,15.0,3.0,1.0,6.0,38.0
143,19.0,19.0,18.0,8.0,1.0,6.0,51.0
144,15.0,19.0,18.0,11.0,1.0,6.0,63.0
145,15.0,14.0,18.0,13.0,5.0,8.0,57.0
146,15.0,19.0,18.0,13.0,5.0,8.0,65.0
147,10.0,19.0,18.0,13.0,5.0,9.0,70.0
148,18.0,19.0,18.0,13.0,8.0,14.0,83.0
149,18.0,14.0,15.0,8.0,6.0,8.0,67.0
150,8.0,22.0,18.0,11.0,8.0,14.0,93.0
151,8.0,22.0,21.0,13.0,8.0,17.0,100.0
152,6.0,22.0,21.0,13.0,8.0,17.0,106.0
153,7.0,23.0,21.0,17.0,10.0,21.0,111.0
154,9.0,19.0,20.0,11.0,8.0,17.0,93.0
155,7.0,22.0,21.0,13.0,8.0,17.0,103.0
156,5.0,23.0,21.0,21.0,10.0,17.0,111.0
157,27.0,11.0,3.0,0.0,1.0,4.0,2.0
158,20.0,11.0,5.0,0.0,1.0,6.0,5.0
159,12.0,11.0,9.0,0.0,1.0,6.0,9.0
160,12.0,14.0,12.0,0.0,1.0,8.0,13.0
161,12.0,14.0,15.0,0.0,1.0,8.0,16.0
162,12.0,19.0,15.0,0.0,1.0,8.0,26.0
163,12.0,19.0,17.0,0.0,1.0,8.0,33.0
164,12.0,19.0,18.0,0.0,1.0,8.0,36.0
165,7.0,19.0,15.0,11.0,10.0,21.0,39.0
166,7.0,19.0,15.0,11.0,10.0,21.0,73.0
167,7.0,22.0,18.0,13.0,4.0,8.0,66.0
168,7.0,22.0,20.0,20.0,4.0,8.0,81.0
169,7.0,19.0,18.0,17.0,10.0,21.0,92.0
170,41.0,11.0,5.0,0.0,1.0,2.0,17.0
171,41.0,11.0,9.0,0.0,1.0,4.0,22.0
172,41.0,14.0,15.0,13.0,1.0,5.0,32.0
173,46.0,8.0,9.0,0.0,1.0,7.0,17.0
174,46.0,8.0,9.0,0.0,4.0,7.0,38.0
175,46.0,11.0,18.0,1.0,1.0,8.0,38.0
176,36.0,8.0,9.0,2.0,1.0,5.0,22.0
177,36.0,8.0,5.0,2.0,3.0,8.0,24.0
178,36.0,11.0,9.0,5.0,1.0,12.0,30.0
179,36.0,11.0,15.0,8.0,1.0,12.0,45.0
180,36.0,14.0,15.0,11.0,1.0,11.0,69.0
181,45.0,8.0,3.0,5.0,1.0,3.0,0.0
182,45.0,8.0,5.0,5.0,1.0,5.0,4.0
183,25.0,14.0,9.0,5.0,3.0,8.0,14.0
184,25.0,14.0,12.0,8.0,6.0,14.0,25.0
185,25.0,14.0,15.0,8.0,4.0,12.0,44.0
186,11.0,19.0,18.0,11.0,4.0,10.0,75.0
187,17.0,19.0,17.0,5.0,6.0,8.0,58.0
188,14.0,19.0,17.0,11.0,6.0,10.0,71.0
189,14.0,22.0,18.0,13.0,9.0,17.0,88.0
190,3.0,22.0,20.0,11.0,8.0,14.0,86.0
191,3.0,22.0,21.0,13.0,9.0,14.0,96.0
192,3.0,22.0,21.0,17.0,11.0,21.0,108.0
193,29.0,14.0,15.0,11.0,5.0,19.0,54.0
194,10.0,14.0,21.0,9.0,6.0,18.0,72.0
195,10.0,14.0,21.0,12.0,12.0,24.0,91.0
196,10.0,14.0,21.0,16.0,14.0,27.0,101.0
197,10.0,19.0,21.0,16.0,14.0,27.0,107.0
198,5.0,22.0,22.0,15.0,9.0,30.0,113.0
199,5.0,22.0,22.0,17.0,9.0,30.0,115.0
200,39.0,5.0,9.0,0.0,1.0,3.0,5.0
201,39.0,8.0,9.0,0.0,1.0,3.0,7.0
202,39.0,5.0,9.0,0.0,1.0,3.0,10.0
203,39.0,8.0,9.0,0.0,1.0,3.0,13.0
204,30.0,11.0,15.0,0.0,1.0,8.0,33.0
205,23.0,11.0,15.0,11.0,2.0,8.0,36.0
206,31.0,14.0,15.0,0.0,2.0,12.0,40.0
207,52.0,8.0,15.0,11.0,0.0,0.0,52.0
208,52.0,11.0,9.0,0.0,0.0,0.0,35.0
